Second,microtesla
119.9,22.03481
120.0,22.03481
120.1,22.07511
120.2,22.30344
120.3,22.30344
120.4,22.468317
120.5,22.793379
120.6,22.793379
120.7,22.722721
120.8,22.82651
120.9,22.82651
121.0,22.82651
121.1,22.769886
121.2,22.769886
121.3,22.803513
121.4,22.857044
121.5,22.857044
121.6,22.993368
121.7,23.159054
121.8,23.159054
121.9,23.241844
122.0,23.072495
122.1,23.072495
122.2,22.921877
122.3,22.861744
122.4,22.861744
122.5,22.861744
122.6,23.235718
122.7,23.235718
122.8,23.548409
122.9,24.096588
123.0,24.096588
123.1,24.17414
123.2,24.094856
123.3,24.159431
123.4,24.159431
123.5,24.402834
